plant_id,category,plant_cn,scientific_name,commons_title,source_page,original_url,author,license,license_url,needs_attribution,source,description,derivative_note,original_width,original_height,file
49,观叶植物,龙血树,Dracaena marginata,File:Dracaena reflexa 'Angustifolia' - Ботаничка градина Скопје (1).jpg,https://commons.wikimedia.org/wiki/File:Dracaena_reflexa_'Angustifolia'_-_Ботаничка_градина_Скопје_(1).jpg,https://upload.wikimedia.org/wikipedia/commons/f/f9/Dracaena_reflexa_%27Angustifolia%27_-_%D0%91%D0%BE%D1%82%D0%B0%D0%BD%D0%B8%D1%87%D0%BA%D0%B0_%D0%B3%D1%80%D0%B0%D0%B4%D0%B8%D0%BD%D0%B0_%D0%A1%D0%BA%D0%BE%D0%BF%D1%98%D0%B5_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Dandarmkd,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,Own work,"Dracaena reflexa 'Angustifolia', also named Dracaena marginata, at the Botanical garden of the Institute of Biology, Faculty of Natural Sciences and Mathematics, Skopje, Macedonia.",,4000,6000,foliage/49_dracaena-marginata.jpg
50,观叶植物,散尾葵,Dypsis lutescens,File:Dypsis lutescens 02.jpg,https://commons.wikimedia.org/wiki/File:Dypsis_lutescens_02.jpg,https://upload.wikimedia.org/wikipedia/commons/e/eb/Dypsis_lutescens_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Digigalos,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,yes,Wikimedia Commons,Dypsis lutescens,青花植主图：替换为近景候选，并按主图标准保留清晰主体、弱化干扰背景。,1600,1200,foliage/50_dypsis-lutescens.jpg
51,观叶植物,棕竹,Rhapis excelsa,File:Rhapis excelsa 16zz.jpg,https://commons.wikimedia.org/wiki/File:Rhapis_excelsa_16zz.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d8/Rhapis_excelsa_16zz.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Photo by David J. Stang,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,source: David Stang. First published at ZipcodeZoo.com,"Location taken: Fairchild Tropical Botanic Garden, Miami, FL USA. Names: Rhapis excelsa (Thunb.) Henry, Bamboo Palm, Broad-Leaved Slender Lady Palm, Chinese Windmolenpalm, Fern Rhapis, Fern Rhapis (As Rhapis Flabelliformis), Ground Rattan, Gwan Eum Jook (Gwan Eum Juk), Hørpalme, Jupati (As R Flabelliformis - Brazil), Lady Palm, Miniature Fan<SP>Palm, Palma Ventaglio, Palmera Bambú, Palmera de bambú, Palmier éventail, Rhapis à Feuilles Larges, Rhapis En éventail, Rhapispalme, Slender Lady Palm, Steckenpalme, Zong Zhu, จั๋งญี่ปุ่น, 棕 Classification: Plantae > Magnoliophyta > Liliopsida > Arecales > Arecaceae > Trachycarpeae > Rhapidinae > Rhapis > Rhapis excelsa .",,2544,1696,foliage/51_rhapis-excelsa.jpg
52,观叶植物,发财树,Pachira aquatica,File:Pachira aquatica - Ботаничка градина Скопје (2).jpg,https://commons.wikimedia.org/wiki/File:Pachira_aquatica_-_Ботаничка_градина_Скопје_(2).jpg,https://upload.wikimedia.org/wikipedia/commons/a/a8/Pachira_aquatica_-_%D0%91%D0%BE%D1%82%D0%B0%D0%BD%D0%B8%D1%87%D0%BA%D0%B0_%D0%B3%D1%80%D0%B0%D0%B4%D0%B8%D0%BD%D0%B0_%D0%A1%D0%BA%D0%BE%D0%BF%D1%98%D0%B5_%282%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Dandarmkd,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,Own work,"Pachira aquatica at the Botanical garden of the Institute of Biology, Faculty of Natural Sciences and Mathematics, Skopje, Macedonia.",,4000,6000,foliage/52_pachira-aquatica.jpg
53,观叶植物,袖珍椰子,Chamaedorea elegans,File:Starr-080117-2235-Chamaedorea elegans-Bella habit-Home Depot Nursery Kahului-Maui (24274630364).jpg,https://commons.wikimedia.org/wiki/File:Starr-080117-2235-Chamaedorea_elegans-Bella_habit-Home_Depot_Nursery_Kahului-Maui_(24274630364).jpg,https://upload.wikimedia.org/wikipedia/commons/6/64/Starr-080117-2235-Chamaedorea_elegans-Bella_habit-Home_Depot_Nursery_Kahului-Maui_%2824274630364%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Forest and Kim Starr,CC BY 3.0 us,https://creativecommons.org/licenses/by/3.0/,yes,starr-080117-2235-Chamaedorea_elegans-Bella_habit-Home_Depot_Nursery_Kahului-Maui,"Chamaedorea elegans (Parlor palm, neanthe bella, good luck palm) Bella habit at Home Depot Nursery Kahului, Maui, Hawaii. January 17, 2008 #080117-2235 Image Use Policy",,2112,2816,foliage/53_chamaedorea-elegans.jpg
54,观花植物,铁线莲,Clematis spp.,File:Clematis viticella plant (2).jpg,https://commons.wikimedia.org/wiki/File:Clematis_viticella_plant_(2).jpg,https://upload.wikimedia.org/wikipedia/commons/4/47/Clematis_viticella_plant_%282%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Thomas Duerbye,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,yes,Wikimedia Commons,Clematis_viticella,青花植主图：替换为近景候选，并按主图标准保留清晰主体、弱化干扰背景。,2448,3264,flowering/54_clematis-spp.jpg
55,观花植物,凌霄,Campsis grandiflora,"File:Campsis-grandiflora,nouzen-kazura,katori-city,japan.JPG","https://commons.wikimedia.org/wiki/File:Campsis-grandiflora,nouzen-kazura,katori-city,japan.JPG",https://upload.wikimedia.org/wikipedia/commons/2/2c/Campsis-grandiflora%2Cnouzen-kazura%2Ckatori-city%2Cjapan.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,katorisi,CC BY 2.5,https://creativecommons.org/licenses/by/2.5/,yes,Own work,"Campsis-grandiflora,nouzen-kazura,katori-city,japan",,1183,1577,flowering/55_campsis-grandiflora.jpg
56,观花植物,牵牛花,Ipomoea nil,File:Ipomoea nil Gorlitsa20230822 22942.jpg,https://commons.wikimedia.org/wiki/File:Ipomoea_nil_Gorlitsa20230822_22942.jpg,https://upload.wikimedia.org/wikipedia/commons/3/35/Ipomoea_nil_Gorlitsa20230822_22942.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Bff,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,yes,Wikimedia Commons,"Ipomoea nil (L.) Roth (1797)
Habitus of flowering Japanese morning glory 'Gorlitsa' as a house plant. Flower diameter is 9 cm, plant height is 22 cm.",青花植主图：替换为近景候选，并按主图标准保留清晰主体、弱化干扰背景。,4400,3300,flowering/56_ipomoea-nil.jpg
57,观花植物,炮仗花,Pyrostegia venusta,File:Starr 030201-0010 Pyrostegia venusta.jpg,https://commons.wikimedia.org/wiki/File:Starr_030201-0010_Pyrostegia_venusta.jpg,https://upload.wikimedia.org/wikipedia/commons/4/45/Starr_030201-0010_Pyrostegia_venusta.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Forest & Kim Starr,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,yes,Wikimedia Commons,"Pyrostegia venusta (flowers). Location: Maui, Haiku",青花植主图：替换为近景候选，并按主图标准保留清晰主体、弱化干扰背景。,1200,1600,flowering/57_pyrostegia-venusta.jpg
58,观花植物,三角梅,Bougainvillea spectabilis,File:Bougainvillea glabra 'Sanderiana' 1.jpg,https://commons.wikimedia.org/wiki/File:Bougainvillea_glabra_%27Sanderiana%27_1.jpg,https://upload.wikimedia.org/wikipedia/commons/2/22/Bougainvillea_glabra_%27Sanderiana%27_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Mokkie,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,yes,Wikimedia Commons,Bougainvillea glabra 'Sanderiana',青花植主图：替换为近景候选，并按主图标准保留清晰主体、弱化干扰背景。,2204,3920,flowering/58_bougainvillea-spectabilis.jpg
59,观花植物,鸡蛋花,Plumeria rubra,File:Plumeria rubera-1-korimedu-salem-India.jpg,https://commons.wikimedia.org/wiki/File:Plumeria_rubera-1-korimedu-salem-India.jpg,https://upload.wikimedia.org/wikipedia/commons/d/de/Plumeria_rubera-1-korimedu-salem-India.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Yercaud-elango,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,yes,Wikimedia Commons,"Apocynaceae-Frangipani,ஈழத்தலரி;Shrubs,flowers pink to white,fragrance.",青花植主图：替换为近景候选，并按主图标准保留清晰主体、弱化干扰背景。,4608,3456,flowering/59_plumeria-rubra.jpg
60,观花植物,夹竹桃,Nerium oleander,File:OleanderInPot.jpg,https://commons.wikimedia.org/wiki/File:OleanderInPot.jpg,https://upload.wikimedia.org/wikipedia/commons/0/02/OleanderInPot.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"This Photo was taken by Miha Peče . Feel free to use my photos, but please mention me as the author. I would much appreciate if you send me an email pc.osx.linux@gmail.com or write on my talk page , for my information. Please do not upload an edited image here without consulting me. I would like to make corrections only at my own source to ensure that the changes improve the image and are preserved. Otherwise you may upload an edited image with a new name. Please use one of the templates derivative or extract .",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,Own work,"Pot with oleander plant standing on pier in Neusiedl am See, Austria.",青花植主图：基于来源图片进行构图裁切，以突出植物主体并弱化背景。,8266,5488,flowering/60_nerium-oleander.jpg
61,观花植物,紫薇,Lagerstroemia indica,File:Lagerstroemia or Crape myrtle from Bangladesh 1.jpg,https://commons.wikimedia.org/wiki/File:Lagerstroemia_or_Crape_myrtle_from_Bangladesh_1.jpg,https://upload.wikimedia.org/wikipedia/commons/8/81/Lagerstroemia_or_Crape_myrtle_from_Bangladesh_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Sm faysal,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,yes,Wikimedia Commons,Lagerstroemia or Crape myrtle from Bangladesh,青花植主图：替换为近景候选，并按主图标准保留清晰主体、弱化干扰背景。,3472,4624,flowering/61_lagerstroemia-indica.jpg
62,观花植物,木槿,Hibiscus syriacus,File:Hibiscus syriacus Pianta.jpg,https://commons.wikimedia.org/wiki/File:Hibiscus_syriacus_Pianta.jpg,https://upload.wikimedia.org/wikipedia/commons/1/15/Hibiscus_syriacus_Pianta.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,RockPoetry,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,no,Own work,it:Hibiscus syriacus,,902,600,flowering/62_hibiscus-syriacus.jpg
63,观叶植物,空气凤梨,Tillandsia spp.,File:Starr-110330-3690-Tillandsia cyanea-flowering habit-Garden of Eden Keanae-Maui (24962479282).jpg,https://commons.wikimedia.org/wiki/File:Starr-110330-3690-Tillandsia_cyanea-flowering_habit-Garden_of_Eden_Keanae-Maui_(24962479282).jpg,https://upload.wikimedia.org/wikipedia/commons/3/3f/Starr-110330-3690-Tillandsia_cyanea-flowering_habit-Garden_of_Eden_Keanae-Maui_%2824962479282%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Forest and Kim Starr,CC BY 3.0 us,https://creativecommons.org/licenses/by/3.0/us/deed.en,yes,Wikimedia Commons,"Tillandsia cyanea (Pink quill, air plant) flowering habit at Garden of Eden Keanae, Maui, Hawaii. March 30, 2011
#110330-3690
Image Use Policy",青花植主图：替换为近景候选，并按主图标准保留清晰主体、弱化干扰背景。,3648,2736,foliage/63_tillandsia-spp.jpg
64,观花植物,木芙蓉,Hibiscus mutabilis,"File:Hibiscus mutabilis Confederate Rose, Cotton Rose ცვალებადი ხეტუხტი.JPG","https://commons.wikimedia.org/wiki/File:Hibiscus_mutabilis_Confederate_Rose,_Cotton_Rose_ცვალებადი_ხეტუხტი.JPG",https://upload.wikimedia.org/wikipedia/commons/e/ea/Hibiscus_mutabilis_Confederate_Rose%2C_Cotton_Rose_%E1%83%AA%E1%83%95%E1%83%90%E1%83%9A%E1%83%94%E1%83%91%E1%83%90%E1%83%93%E1%83%98_%E1%83%AE%E1%83%94%E1%83%A2%E1%83%A3%E1%83%AE%E1%83%A2%E1%83%98.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Lazaregagnidze,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,Own work,Taken in Bathumi,,4288,2848,flowering/64_hibiscus-mutabilis.jpg
65,水生植物,荷花,Nelumbo nucifera,File:Nelumbo nucifera RB3.JPG,https://commons.wikimedia.org/wiki/File:Nelumbo_nucifera_RB3.JPG,https://upload.wikimedia.org/wikipedia/commons/c/c0/Nelumbo_nucifera_RB3.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Radomil,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,yes,Own work,"Nelumbo nucifera , Botanical garden in Poznań",,1536,2048,aquatic/65_nelumbo-nucifera.jpg
66,水生植物,睡莲,Nymphaea spp.,"File:Chicago Botanic Gdn, Aquatic Gdn 180721 205 Nelumbo nucifera Sacred Lotus, Nymphaea spp Waterlilies.jpg",https://commons.wikimedia.org/wiki/File:Chicago_Botanic_Gdn%2C_Aquatic_Gdn_180721_205_Nelumbo_nucifera_Sacred_Lotus%2C_Nymphaea_spp_Waterlilies.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9b/Chicago_Botanic_Gdn%2C_Aquatic_Gdn_180721_205_Nelumbo_nucifera_Sacred_Lotus%2C_Nymphaea_spp_Waterlilies.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,cultivar413,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,yes,Wikimedia Commons,At the Chicago Botanic Garden,青花植主图：替换为近景候选，并按主图标准保留清晰主体、弱化干扰背景。,3309,3648,aquatic/66_nymphaea-spp.jpg
67,水生植物,凤眼莲,Eichhornia crassipes,File:Pontederia crassipes 2019-05-03 02.jpg,https://commons.wikimedia.org/wiki/File:Pontederia_crassipes_2019-05-03_02.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9e/Pontederia_crassipes_2019-05-03_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"Agnieszka Kwiecień, Nova",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,Own work,"Waterhyacinth ( Pontederia crassipes , syn. Eichhornia crassipes ), plant cultivated in Wrocław University Botanical Garden, Wrocław, Poland.",,3451,2588,aquatic/67_eichhornia-crassipes.jpg
68,水生植物,铜钱草,Hydrocotyle vulgaris,File:Hydrocotyle Vulgaris coin grass.jpg,https://commons.wikimedia.org/wiki/File:Hydrocotyle_Vulgaris_coin_grass.jpg,https://upload.wikimedia.org/wikipedia/commons/0/02/Hydrocotyle_Vulgaris_coin_grass.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Suzanne ujen,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,no,Wikimedia Commons,"Location: L.A. River Cottage, Miri",青花植主图：替换为近景候选，并按主图标准保留清晰主体、弱化干扰背景。,3000,4000,aquatic/68_hydrocotyle-vulgaris.jpg
69,蔬菜,矮生番茄,Solanum lycopersicum var. cerasiforme,File:Starr-090801-3483-Solanum lycopersicum-habit in garden in circle cages-Olinda-Maui (24675352830).jpg,https://commons.wikimedia.org/wiki/File:Starr-090801-3483-Solanum_lycopersicum-habit_in_garden_in_circle_cages-Olinda-Maui_(24675352830).jpg,https://upload.wikimedia.org/wikipedia/commons/f/f8/Starr-090801-3483-Solanum_lycopersicum-habit_in_garden_in_circle_cages-Olinda-Maui_%2824675352830%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Forest and Kim Starr,CC BY 3.0 us,https://creativecommons.org/licenses/by/3.0/,yes,starr-090801-3483-Solanum_lycopersicum-habit_in_garden_in_circle_cages-Olinda-Maui,"Solanum lycopersicum (Tomato) Habit in garden in circle cages at Olinda, Maui, Hawaii. August 01, 2009 #090801-3483 Image Use Policy Also known as Lycopersicon esculentum and L. pimpinellifolium. Images include Solanum lycopersicum var. cerasiforme, S. l. var. lycopersicum, and hybrid combinations between them.",,3648,2736,vegetable/69_solanum-lycopersicum-var-cerasiforme.jpg
70,蔬菜,小青菜,Brassica rapa var. chinensis,File:Brassica rapa chinensis 4610994.jpg,https://commons.wikimedia.org/wiki/File:Brassica_rapa_chinensis_4610994.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1d/Brassica_rapa_chinensis_4610994.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Jon Sullivan,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,yes,https://www.inaturalist.org/photos/4610994,Pak Choi ( Brassica rapa chinensis ),,2048,1536,vegetable/70_brassica-rapa-var-chinensis.jpg
71,观叶植物,白掌,Spathiphyllum wallisii,File:Maseta.jpg,https://commons.wikimedia.org/wiki/File:Maseta.jpg,https://upload.wikimedia.org/wikipedia/commons/0/00/Maseta.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CesarAlbertoHerrera,CC0,https://creativecommons.org/publicdomain/zero/1.0/,no,Own work,Maseta con plantas de sombra ubicada en una casa en iztacalco,,3024,4032,foliage/71_spathiphyllum-wallisii.jpg
73,观叶植物,银皇后,Aglaonema commutatum,File:Agalaonema commulatum-1-sunny brook-yercaud-salem-India.JPG,https://commons.wikimedia.org/wiki/File:Agalaonema_commulatum-1-sunny_brook-yercaud-salem-India.JPG,https://upload.wikimedia.org/wikipedia/commons/9/9d/Agalaonema_commulatum-1-sunny_brook-yercaud-salem-India.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Yercaud-elango,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,Own work,"Herb,leaves deep green,marking of silver gray,waxy white spathe.",,2816,2112,foliage/73_aglaonema-commutatum.jpg
74,观叶植物,黛粉叶,Dieffenbachia seguine,File:Dieffenbachia maculata Rudolph Roehrs 3zz.jpg,https://commons.wikimedia.org/wiki/File:Dieffenbachia_maculata_Rudolph_Roehrs_3zz.jpg,https://upload.wikimedia.org/wikipedia/commons/2/24/Dieffenbachia_maculata_Rudolph_Roehrs_3zz.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Photo by David J. Stang,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,source: David Stang. First published at ZipcodeZoo.com,"Location taken: Fairchild Tropical Botanic Garden, Miami, FL USA. Names: Dieffenbachia maculata 'Rudolph Roehrs' (Lodd.) G. Don Classification: Plantae > Angiosperms > Monocots > Alismatales > Araceae > Dieffenbachieae > Dieffenbachia > Dieffenbachia maculata 'Rudolph Roehrs' .",,2544,1696,foliage/74_dieffenbachia-seguine.jpg
75,观叶植物,白蝶合果芋,Syngonium podophyllum,File:Syngonium podophyllum - Ботаничка градина Скопје (3).jpg,https://commons.wikimedia.org/wiki/File:Syngonium_podophyllum_-_Ботаничка_градина_Скопје_(3).jpg,https://upload.wikimedia.org/wikipedia/commons/2/2d/Syngonium_podophyllum_-_%D0%91%D0%BE%D1%82%D0%B0%D0%BD%D0%B8%D1%87%D0%BA%D0%B0_%D0%B3%D1%80%D0%B0%D0%B4%D0%B8%D0%BD%D0%B0_%D0%A1%D0%BA%D0%BE%D0%BF%D1%98%D0%B5_%283%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Dandarmkd,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,Own work,"Syngonium podophyllum at the Botanical garden of the Institute of Biology, Faculty of Natural Sciences and Mathematics, Skopje, Macedonia.",,4000,6000,foliage/75_syngonium-podophyllum.jpg
76,观叶植物,蔓绿绒,Philodendron hederaceum,File:Philodendron hederaceum var. Lemon Lime.jpg,https://commons.wikimedia.org/wiki/File:Philodendron_hederaceum_var._Lemon_Lime.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ef/Philodendron_hederaceum_var._Lemon_Lime.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,AlbeitPK,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,yes,Wikimedia Commons,Philodendron hederaceum var. Lemon Lime,青花植主图：替换为近景候选，并按主图标准保留清晰主体、弱化干扰背景。,2482,3058,foliage/76_philodendron-hederaceum.jpg
77,观叶植物,裂叶喜林芋,Thaumatophyllum bipinnatifidum,File:Starr 031108-0220 Philodendron bipinnatifidum.jpg,https://commons.wikimedia.org/wiki/File:Starr_031108-0220_Philodendron_bipinnatifidum.jpg,https://upload.wikimedia.org/wikipedia/commons/2/26/Starr_031108-0220_Philodendron_bipinnatifidum.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Forest & Kim Starr,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,yes,Wikimedia Commons,"Philodendron bipinnatifidum, syn. Thaumatophyllum bipinnatifidum (habit). Location: Florida, Siesta Key",青花植主图：替换为近景候选，并按主图标准保留清晰主体、弱化干扰背景。,1632,1224,foliage/77_thaumatophyllum-bipinnatifidum.jpg
78,观叶植物,姬龟背,Rhaphidophora tetrasperma,File:Rhapidophora Tetrasperma.jpg,https://commons.wikimedia.org/wiki/File:Rhapidophora_Tetrasperma.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fe/Rhapidophora_Tetrasperma.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Jule.Kat,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,Own work,Rhaphidophora Tetrasperma als Zimmerpflanze,,4032,3024,foliage/78_rhaphidophora-tetrasperma.jpg
79,观叶植物,海芋,Alocasia macrorrhizos,File:Alocasia macrorrhizos 2.jpg,https://commons.wikimedia.org/wiki/File:Alocasia_macrorrhizos_2.jpg,https://upload.wikimedia.org/wikipedia/commons/7/70/Alocasia_macrorrhizos_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Nativeplants garden,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,yes,Wikimedia Commons,മാറാൻ ചേമ്പ്,青花植主图：替换为近景候选，并按主图标准保留清晰主体、弱化干扰背景。,2250,4000,foliage/79_alocasia-macrorrhizos.jpg
80,观叶植物,滴水观音,Alocasia odora,File:Alocasia odora - Ботаничка градина (3).jpg,https://commons.wikimedia.org/wiki/File:Alocasia_odora_-_Ботаничка_градина_(3).jpg,https://upload.wikimedia.org/wikipedia/commons/c/c3/Alocasia_odora_-_%D0%91%D0%BE%D1%82%D0%B0%D0%BD%D0%B8%D1%87%D0%BA%D0%B0_%D0%B3%D1%80%D0%B0%D0%B4%D0%B8%D0%BD%D0%B0_%283%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Dandarmkd,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,Own work,"Alocasia odora at the Botanical garden of the Institute of Biology, Faculty of Natural Sciences and Mathematics, Skopje, Macedonia.",,4000,6000,foliage/80_alocasia-odora.jpg
81,观叶植物,花叶椒草,Peperomia obtusifolia,File:Peperomia obtusifolia - Ботаничка градина Скопје (1).jpg,https://commons.wikimedia.org/wiki/File:Peperomia_obtusifolia_-_Ботаничка_градина_Скопје_(1).jpg,https://upload.wikimedia.org/wikipedia/commons/1/16/Peperomia_obtusifolia_-_%D0%91%D0%BE%D1%82%D0%B0%D0%BD%D0%B8%D1%87%D0%BA%D0%B0_%D0%B3%D1%80%D0%B0%D0%B4%D0%B8%D0%BD%D0%B0_%D0%A1%D0%BA%D0%BE%D0%BF%D1%98%D0%B5_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Dandarmkd,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,Own work,"Peperomia obtusifolia at the Botanical garden of the Institute of Biology, Faculty of Natural Sciences and Mathematics, Skopje, Macedonia.",,6000,4000,foliage/81_peperomia-obtusifolia.jpg
82,观叶植物,西瓜皮椒草,Peperomia argyreia,File:Peperomia argyreia.jpg,https://commons.wikimedia.org/wiki/File:Peperomia_argyreia.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ac/Peperomia_argyreia.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,James Steakley,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,yes,Own work,"Peperomia argyreia in the Botanical Garden, Berlin.",,3648,2736,foliage/82_peperomia-argyreia.jpg
83,观叶植物,网纹草,Fittonia albivenis,File:Fittonia verschaffeltii argyroneura Prague 2012 2.jpg,https://commons.wikimedia.org/wiki/File:Fittonia_verschaffeltii_argyroneura_Prague_2012_2.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5b/Fittonia_verschaffeltii_argyroneura_Prague_2012_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Karelj,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,yes,Own work,"Flowering plant Fittonia verschaffeltii var. argyroneura , Fittonia verschaffeltii var. argyroneura , The Botanical Gardens of Charles University , Prague , Czech Republic",,2000,3000,foliage/83_fittonia-albivenis.jpg
84,观叶植物,冷水花,Pilea cadierei,File:Pilea cadierei-anna park-yercaud-salem-India.JPG,https://commons.wikimedia.org/wiki/File:Pilea_cadierei-anna_park-yercaud-salem-India.JPG,https://upload.wikimedia.org/wikipedia/commons/4/4d/Pilea_cadierei-anna_park-yercaud-salem-India.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Yercaud-elango,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,Own work,"Aluminium plant-herb,leaves green with white batches.",,4000,3000,foliage/84_pilea-cadierei.jpg
85,观叶植物,镜面草,Pilea peperomioides,File:Pilea peperomioides - Ботаничка градина Скопје (3).jpg,https://commons.wikimedia.org/wiki/File:Pilea_peperomioides_-_Ботаничка_градина_Скопје_(3).jpg,https://upload.wikimedia.org/wikipedia/commons/5/5a/Pilea_peperomioides_-_%D0%91%D0%BE%D1%82%D0%B0%D0%BD%D0%B8%D1%87%D0%BA%D0%B0_%D0%B3%D1%80%D0%B0%D0%B4%D0%B8%D0%BD%D0%B0_%D0%A1%D0%BA%D0%BE%D0%BF%D1%98%D0%B5_%283%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Dandarmkd,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,Own work,"Pilea peperomioides at the Botanical garden of the Institute of Biology, Faculty of Natural Sciences and Mathematics, Skopje, Macedonia.",,6000,4000,foliage/85_pilea-peperomioides.jpg
86,观叶植物,吊竹梅,Tradescantia zebrina,File:Tradescantia zebrina (20484324691).jpg,https://commons.wikimedia.org/wiki/File:Tradescantia_zebrina_(20484324691).jpg,https://upload.wikimedia.org/wikipedia/commons/c/cb/Tradescantia_zebrina_%2820484324691%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Maja Dumat from Deutschland (Germany),CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,yes,Tradescantia zebrina,,,4679,3109,foliage/86_tradescantia-zebrina.jpg
